City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Elk Plain,47.05,-122.4,43.0,87,90,6.91,US,1611796621
Jishou,28.32,109.72,43.65,80,0,1.36,CN,1611796621
Aquiraz,-3.9,-38.39,80.6,83,40,9.22,BR,1611796622
Sittwe,20.15,92.9,61.32,60,0,6.44,MM,1611796622
Naze,28.37,129.48,64.4,55,20,9.22,JP,1611796622
Zaraza,9.35,-65.32,75.11,77,100,7.87,VE,1611796440
Umm Hājar,13.3,19.7,70.97,18,0,11.1,TD,1611796622
Xingcheng,40.62,120.72,13.48,72,0,21.16,CN,1611796623
Neiafu,-18.65,-173.98,77.0,88,90,11.5,TO,1611796623
Fort Nelson,58.81,-122.7,-11.2,77,40,2.3,CA,1611796623
Mitú,1.2,-70.17,72.57,97,100,3.15,CO,1611796623
Omboué,-1.57,9.26,74.5,89,100,2.68,GA,1611796623
Ninotsminda,41.26,43.59,12.2,79,75,2.3,GE,1611796624
Kyabram,-36.32,145.05,80.01,50,100,1.99,AU,1611796624
Otavi,-19.65,17.33,65.95,85,100,3.0,NA,1611796624
Rauma,61.13,21.51,26.6,93,90,5.75,FI,1611796624
Sisimiut,66.94,-53.67,8.46,78,0,10.65,GL,1611796624
Camacupa,-12.02,17.48,62.22,89,100,3.27,AO,1611796625
Beloha,-25.17,45.05,76.05,80,5,10.31,MG,1611796625
Lethem,3.38,-59.8,80.46,62,99,15.99,GY,1611796625
Berlevåg,70.86,29.09,24.39,92,100,20.38,NO,1611796625
Mouila,-1.87,11.06,72.5,95,100,0.72,GA,1611796625
Jasper,37.2,-94.35,28.99,75,81,1.99,US,1611796523
Straelen,51.45,6.27,42.01,100,100,3.0,DE,1611796626
Shelton,41.32,-73.09,33.8,64,90,10.36,US,1611796626
Arroyo de la Encomienda,41.61,-4.8,52.0,100,90,9.22,ES,1611796626
Vazante,-17.99,-46.91,68.41,80,100,2.04,BR,1611796626
Banjarmasin,-3.32,114.59,77.0,88,40,6.91,ID,1611796626
Vyazemskiy,47.54,134.75,-2.56,85,0,3.67,RU,1611796627
Tuy Hoa,13.08,109.3,72.19,82,84,12.41,VN,1611796627
Bethel,41.37,-73.41,28.99,78,7,1.01,US,1611796627
Arraias,-12.93,-46.94,71.8,74,81,3.06,BR,1611796627
Lawton,34.61,-98.39,35.01,55,1,8.05,US,1611796396
Marsh Harbour,26.54,-77.06,75.09,81,16,8.99,BS,1611796628
Bilibino,68.05,166.44,-11.54,84,100,7.16,RU,1611796628
Kudahuvadhoo,2.67,72.89,79.84,70,87,15.52,MV,1611796628
Menongue,-14.66,17.69,65.28,86,100,1.57,AO,1611796628
Baruun-Urt,46.68,113.28,-22.31,80,0,8.34,MN,1611796628
Mogadishu,2.04,45.34,76.66,84,100,17.0,SO,1611796629
Zyryanka,65.75,150.85,-29.54,83,100,2.55,RU,1611796629
Cap Malheureux,-19.98,57.61,75.99,82,32,1.99,MU,1611796629
Garut,-7.2,107.89,73.72,77,100,2.06,ID,1611796629
Oistins,13.07,-59.53,78.8,69,40,14.97,BB,1611796629
Iracoubo,5.48,-53.2,76.73,82,100,10.07,GF,1611796630
Cascais,38.7,-9.42,57.99,88,98,3.0,PT,1611796630
Kutum,14.2,24.67,58.08,27,79,8.12,SD,1611796630
Tignère,7.37,12.65,66.92,26,52,1.81,CM,1611796630
Alofi,-19.06,-169.92,78.8,21,90,8.05,NU,1611796631
Vestmannaeyjar,63.44,-20.27,33.31,88,96,22.01,IS,1611796631
Turaif,31.67,38.66,48.2,57,0,9.22,SA,1611796632
Ashquelon,31.67,34.57,60.01,100,24,14.32,IL,1611796632
Safi,32.3,-9.24,62.69,85,0,12.55,MA,1611796632
Jaqué,7.52,-78.17,79.11,83,51,5.1,PA,1611796632
Paamiut,61.99,-49.67,31.05,84,81,10.8,GL,1611796633
Amazar,53.86,120.88,-23.28,79,88,4.72,RU,1611796633
Aksarka,66.56,67.8,-27.89,84,100,8.93,RU,1611796633
Yuyao,30.05,121.15,48.99,81,75,12.95,CN,1611796633
Sergeevka,53.88,67.42,17.37,96,13,12.19,KZ,1611796634
Gewanē,10.17,40.65,62.13,50,0,4.68,ET,1611796634
Cap-aux-Meules,47.38,-61.86,24.8,74,100,17.27,CA,1611796634
Gloucester,51.87,-2.24,50.0,92,100,11.01,GB,1611796634
Raudeberg,61.99,5.14,28.99,93,100,7.14,NO,1611796634
Beringovskiy,63.05,179.32,15.89,96,100,25.5,RU,1611796634
Portales,34.19,-103.33,42.01,23,0,1.99,US,1611796473
São Filipe,14.9,-24.5,73.38,69,0,5.03,CV,1611796635
Kieta,-6.22,155.63,86.99,67,99,11.43,PG,1611796635
Sambava,-14.27,50.17,75.67,90,8,4.0,MG,1611796635
Mount Gambier,-37.83,140.77,80.6,41,100,11.5,AU,1611796635
Penzance,50.12,-5.54,51.8,100,90,20.71,GB,1611796636
Togul,53.46,85.91,18.93,97,100,12.46,RU,1611796636
Bud,39.45,-86.18,26.01,94,100,9.69,US,1611796636
Kuminskiy,58.67,66.57,19.89,97,100,9.57,RU,1611796636
Buala,-8.14,159.59,86.22,71,100,14.18,SB,1611796637
Española,35.99,-106.08,30.2,51,1,2.04,US,1611796637
Alyangula,-13.85,136.42,84.2,79,100,9.22,AU,1611796637
Monrovia,6.3,-10.8,77.0,94,40,5.82,LR,1611796396
Shenkursk,62.11,42.9,27.45,98,100,8.14,RU,1611796637
Vaitape,-16.52,-151.75,81.48,72,33,11.56,PF,1611796638
Parkes,-33.13,148.18,81.0,51,100,7.0,AU,1611796638
Achutupo,9.2,-77.98,77.88,86,100,5.99,PA,1611796638
Salto,-31.38,-57.97,82.0,75,56,3.0,UY,1611796379
Kristiansund,63.11,7.73,32.0,86,20,6.91,NO,1611796638
Touros,-5.2,-35.46,78.8,78,20,9.22,BR,1611796639
Ono,34.85,134.93,50.0,66,75,8.05,JP,1611796639
Porto União,-26.24,-51.08,66.65,95,100,1.52,BR,1611796639
San Vicente,-26.62,-54.13,69.12,99,100,4.41,AR,1611796639
Belaya Gora,68.53,146.42,-24.59,87,100,4.59,RU,1611796639
Xining,36.62,101.77,9.7,70,32,3.06,CN,1611796639
Vila,42.03,-8.16,53.01,96,100,6.15,PT,1611796640
Batemans Bay,-35.72,150.18,64.0,87,100,1.01,AU,1611796640
Syas'stroy,60.14,32.57,26.94,98,89,4.16,RU,1611796640
Kirakira,-10.45,161.92,84.52,76,82,13.8,SB,1611796640
Hīt,33.64,42.83,57.07,37,100,2.98,IQ,1611796640
Fayaoué,-20.65,166.53,81.14,80,100,19.04,NC,1611796641
Sioux Lookout,50.1,-91.92,-14.8,76,1,3.24,CA,1611796641
Pisco,-13.7,-76.22,71.6,68,0,4.61,PE,1611796641
Auki,-8.77,160.7,83.97,75,100,11.14,SB,1611796641
Inta,66.03,60.17,-0.18,93,100,15.39,RU,1611796641
Chimbote,-9.09,-78.58,71.02,77,100,7.16,PE,1611796443
Caboolture,-27.08,152.95,84.0,78,6,12.41,AU,1611796642
Agüimes,27.91,-15.45,64.0,88,0,10.36,ES,1611796642
Hualmay,-11.1,-77.61,71.08,82,100,7.63,PE,1611796642
Galeana,24.83,-100.07,55.99,28,57,8.01,MX,1611796642
Ilanskiy,56.24,96.06,-10.46,87,16,10.13,RU,1611796643
Divnomorskoye,44.5,38.14,52.34,69,92,13.44,RU,1611796643
Port Blair,11.67,92.75,79.16,81,95,11.7,IN,1611796511
Yar-Sale,66.83,70.83,-32.8,84,100,7.34,RU,1611796643
Chernyshevskiy,63.01,112.47,-47.02,80,50,1.57,RU,1611796643
Geraldton,-28.77,114.6,78.8,34,0,12.66,AU,1611796643
Samarai,-10.62,150.67,82.26,77,100,3.15,PG,1611796644
Kyra,49.58,111.98,-21.48,77,96,2.57,RU,1611796644
Otane,-39.88,176.63,75.99,56,8,15.99,NZ,1611796644
Coahuayana Viejo,18.73,-103.68,71.6,83,1,3.47,MX,1611796644
Panama City,8.99,-79.52,80.6,74,90,6.91,PA,1611796644
Celestún,20.87,-90.4,76.57,86,14,14.92,MX,1611796645
Sistranda,63.73,8.83,33.8,86,20,19.57,NO,1611796645
Moerai,-22.43,-151.33,80.28,77,100,15.32,PF,1611796645
Topolog,44.88,28.37,30.2,86,90,20.71,RO,1611796645
Aktash,50.3,87.73,-4.59,88,51,3.24,RU,1611796645
Lambaréné,-0.7,10.24,73.0,95,100,1.92,GA,1611796591
Vieques,18.42,-65.83,77.0,78,40,8.05,PR,1611796646
Paita,-5.09,-81.11,75.22,73,10,17.65,PE,1611796646
Kitaotao,7.64,125.01,76.14,70,100,3.62,PH,1611796646
Sur,22.57,59.53,67.01,70,0,12.55,OM,1611796647
Praia da Vitória,38.73,-27.07,62.6,94,20,22.79,PT,1611796647
Mareeba,-17.0,145.43,80.6,83,75,4.61,AU,1611796647
Naryan-Mar,67.67,53.09,-4.79,91,100,18.37,RU,1611796647
Alexandria,31.22,29.96,59.0,58,40,11.5,EG,1611796540
Kuytun,54.34,101.5,-7.87,91,100,6.46,RU,1611796647
Muskegon,43.3,-86.13,24.8,68,90,10.36,US,1611796648
Sinnamary,5.38,-52.95,76.42,80,96,10.16,GF,1611796648
Suntar,62.14,117.63,-47.76,77,77,0.38,RU,1611796648
Abalak,58.13,68.59,21.63,98,100,7.49,RU,1611796648
Ugoofaaru,5.67,73.0,80.64,64,0,11.7,MV,1611796649
Ouadda,8.08,22.4,73.4,21,64,5.01,CF,1611796649
Rawson,-43.3,-65.1,64.9,45,57,11.34,AR,1611796649
Vulcăneşti,45.68,28.4,30.79,96,100,24.34,MD,1611796649
Erdenet,49.03,104.08,-6.56,84,100,4.07,MN,1611796649
Tsimmerbude,54.68,20.13,32.0,93,75,4.47,RU,1611796650
Khilok,51.37,110.47,-20.22,81,100,3.33,RU,1611796650
Karratha,-20.74,116.85,99.25,14,0,16.11,AU,1611796650
Dzerzhinsk,56.24,43.46,33.8,100,90,6.71,RU,1611796650
Brae,60.4,-1.35,32.0,86,59,9.22,GB,1611796651
Mnogovershinnyy,53.94,139.92,-3.68,93,100,7.27,RU,1611796651
Fuzhou,26.06,119.31,53.6,76,90,8.95,CN,1611796651
Port-Cartier,50.03,-66.87,21.2,58,0,5.75,CA,1611796651
Port Macquarie,-31.43,152.92,82.99,83,90,8.1,AU,1611796652
Mēga,4.05,38.3,60.04,51,0,13.33,ET,1611796652
Port Moresby,-9.44,147.18,77.0,100,75,10.36,PG,1611796652
Mortka,59.33,66.02,19.4,97,100,9.73,RU,1611796652
La Santisima Trinidad,-14.83,-64.9,74.75,94,100,5.99,BO,1611796652
Kirkwall,58.98,-2.96,33.8,86,100,1.14,GB,1611796653
Soe,-9.86,124.28,75.34,79,100,9.33,ID,1611796653
Tarakan,3.3,117.63,80.6,89,40,5.75,ID,1611796407
Boa Vista,2.82,-60.67,80.6,69,75,10.36,BR,1611796653
Umm Kaddadah,13.6,26.69,68.67,19,6,16.11,SD,1611796653
Harda,22.33,77.1,52.5,42,0,8.79,IN,1611796654
Ihosy,-22.4,46.12,69.12,91,25,3.15,MG,1611796654
Biak,-0.91,122.88,82.76,64,98,4.7,ID,1611796654
Bonavista,48.65,-53.11,28.0,93,79,3.44,CA,1611796654
Muros,42.78,-9.06,57.99,93,100,11.01,ES,1611796654
Bereda,43.27,-7.54,55.0,94,99,8.99,ES,1611796655
Mehamn,71.04,27.85,23.95,93,100,19.64,NO,1611796655
Valentín Gómez Farías,28.22,-106.58,48.99,39,100,5.01,MX,1611796655
Buin,-33.73,-70.75,75.2,35,0,12.66,CL,1611796655
Tessalit,20.2,1.01,63.48,24,0,7.99,ML,1611796655
Lodja,-3.48,23.43,68.59,97,100,3.36,CD,1611796656
Inhambane,-23.86,35.38,78.67,88,50,6.73,MZ,1611796656
Surgut,61.25,73.42,-22.0,76,40,8.95,RU,1611796656
Cockburn Town,21.46,-71.14,76.14,76,0,15.93,TC,1611796657
